id,name,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
240,shortcake,🍰,0.089432703,1.196996663,0.068743048,0.110122358,1.281535039,0.114460512,0.500333704,0.711457175,0.230367074,1.636707453
241,hot beverage,☕,0.196575597,0.763531604,0.098524949,0.149269678,0.851118708,0.189317647,0.451128596,0.80851443,0.361770101,1.306729431
242,bottle with popping cork,🍾,0.131172908,0.987239291,0.110215295,0.126743665,1.030724377,0.15722135,0.501390446,0.795727741,0.307591388,1.411538461
243,wineglass,🍷,0.145776621,0.633033495,0.09410877,0.167164753,0.697000631,0.195235137,0.33551801,0.621079418,0.344547678,1.078608908
244,beer mug,🍺,0.151194944,0.642306932,0.122424122,0.175949701,0.772137731,0.169267233,0.276351307,0.517512674,0.325136612,1.109355454
245,clinking beer mugs,🍻,0.160308548,0.645945805,0.101504394,0.16740569,0.726794422,0.167421432,0.28974286,0.554833519,0.362282647,1.079746109
246,clinking glasses,🥂,0.110185425,0.857255331,0.094680405,0.145758245,0.981502249,0.151009566,0.38926699,0.755799072,0.278684154,1.318700305
247,kitchen knife,🔪,0.339709478,0.460434345,0.229109737,0.391428161,0.45088451,0.327081835,0.292650654,0.452725442,0.59672084,0.769423271
248,globe showing Europe-Africa,🌍,0.248634803,0.788230216,0.154065567,0.363649158,0.796458932,0.289844058,0.32852934,0.8716996,0.476167689,1.555320986
249,globe showing Americas,🌎,0.228346751,0.808272671,0.122993463,0.297587739,0.814112141,0.247606127,0.357080089,0.879168756,0.452451765,1.513969083
250,globe showing Asia-Australia,🌏,0.179186337,0.893422462,0.139346213,0.315953902,1.084748284,0.299748086,0.461716983,0.995586543,0.436099099,1.769567977
251,globe with meridians,🌐,0.20039312,0.847665848,0.081277641,0.20982801,0.753611794,0.2602457,0.454840295,0.896707617,0.460933661,1.698968059
252,house,🏠,0.18435902,0.652618586,0.085611003,0.257979192,0.597425498,0.19925939,0.271116205,0.717510139,0.390936343,1.308234879
253,house with garden,🏡,0.185549263,0.807369365,0.123860637,0.228162958,0.826543012,0.218322659,0.328521771,0.824755951,0.355997035,1.445130992
